Date,Title,Quantity Sold,Total Revenue
2026-07-12,Monsoon Ledger,1,13.4
2026-07-12,The Bureaucrat's Garden,2,29.2
2026-07-12,The Algorithm of Grief,2,34.0
2026-07-13,Copper Wire Kingdom,3,59.97
2026-07-13,Data Dreams,2,52.0
2026-07-13,Data Dreams,5,130.0
2026-07-13,The Physics of Forgetting,4,86.0
2026-07-13,Echoes in Sepia,1,14.2
2026-07-13,Echoes in Sepia,4,56.8
2026-07-13,The Salt Road,5,79.95
2026-07-14,The Bureaucrat's Garden,2,29.2
2026-07-14,Monsoon Ledger,1,13.4
2026-07-14,Quantum Shadows,1,22.0
2026-07-14,The Bureaucrat's Garden,3,43.8
2026-07-14,The Clockmaker's Daughter II,1,15.25
2026-07-14,The Clockmaker's Daughter II,3,45.75
2026-07-14,Verses for a Rainy Ledger,3,25.5
2026-07-15,Quantum Shadows,2,44.0
2026-07-15,Whispers of Kaduna,1,12.5
2026-07-15,The Grammar of Rivers,1,9.99
2026-07-15,Static Hearts,4,45.0
2026-07-15,Neural Nights,1,24.99
2026-07-16,The Grammar of Rivers,1,9.99
2026-07-16,Copper Wire Kingdom,1,19.99
2026-07-16,Static Hearts,4,45.0
2026-07-17,The Iron Archive,1,18.4
2026-07-17,Static Hearts,1,11.25
2026-07-17,The Bureaucrat's Garden,1,14.6
2026-07-17,Ashes of Meridian,2,37.98
2026-07-17,Verses for a Rainy Ledger,2,17.0
2026-07-17,Ashes of Meridian,4,75.96
2026-07-17,The Silent Orchard,2,29.98
2026-07-18,The Last Cartographer,3,50.25
2026-07-18,The Algorithm of Grief,2,34.0
2026-07-18,Static Hearts,5,56.25
2026-07-18,The Grammar of Rivers,1,9.99
2026-07-18,The Nightshift Gardener,1,13.75
2026-07-18,Echoes in Sepia,2,28.4
2026-07-18,Static Hearts,6,67.5
2026-07-19,Data Dreams,3,78.0
2026-07-19,Beneath the Marigold Sky,2,23.98
2026-07-19,Copper Wire Kingdom,1,19.99
2026-07-19,Static Hearts,6,67.5
2026-07-19,The Silent Orchard,4,59.96
2026-07-20,Quantum Shadows,2,44.0
2026-07-20,Echoes in Sepia,5,71.0
2026-07-20,Neural Nights,1,24.99
2026-07-20,Ashes of Meridian,2,37.98
2026-07-20,Neural Nights,2,49.98
2026-07-20,The Algorithm of Grief,3,51.0
2026-07-20,The Nightshift Gardener,1,13.75
2026-07-21,Ghosts of the Data Center,2,51.5
2026-07-21,Copper Wire Kingdom,2,39.98
2026-07-21,The Bureaucrat's Garden,1,14.6
2026-07-21,The Bureaucrat's Garden,1,14.6
2026-07-21,The Clockmaker's Daughter II,2,30.5
2026-07-21,Verses for a Rainy Ledger,1,8.5
2026-07-22,Ghosts of the Data Center,5,128.75
2026-07-22,The Last Cartographer,1,16.75
2026-07-22,Code & Cauldron,2,55.0
2026-07-22,The Silent Orchard,1,14.99
2026-07-23,Ghosts of the Data Center,1,25.75
2026-07-23,The Silent Orchard,4,59.96
2026-07-23,Static Hearts,5,56.25
2026-07-23,Ashes of Meridian,1,18.99
2026-07-23,The Salt Road,1,15.99
2026-07-23,Ghosts of the Data Center,3,77.25
2026-07-24,The Grammar of Rivers,4,39.96
2026-07-24,Neural Nights,1,24.99
2026-07-24,Static Hearts,1,11.25
2026-07-25,Ghosts of the Data Center,4,103.0
2026-07-25,The Clockmaker's Daughter II,3,45.75
2026-07-25,The Algorithm of Grief,2,34.0
2026-07-26,The Nightshift Gardener,1,13.75
2026-07-26,Copper Wire Kingdom,3,59.97
2026-07-26,The Nightshift Gardener,1,13.75
2026-07-26,Beneath the Marigold Sky,4,47.96
2026-07-26,The Salt Road,1,15.99
2026-07-26,The Salt Road,1,15.99
2026-07-26,Neural Nights,1,24.99
2026-07-27,Copper Wire Kingdom,4,79.96
2026-07-27,The Physics of Forgetting,2,43.0
2026-07-28,Ghosts of the Data Center,2,51.5
2026-07-28,Echoes in Sepia,3,42.6
2026-07-28,Monsoon Ledger,6,80.4
2026-07-28,Beneath the Marigold Sky,4,47.96
2026-07-29,The Salt Road,5,79.95
2026-07-29,The Iron Archive,1,18.4
2026-07-29,The Nightshift Gardener,2,27.5
2026-07-29,The Bureaucrat's Garden,1,14.6
2026-07-30,Ghosts of the Data Center,1,25.75
2026-07-30,Quantum Shadows,1,22.0
2026-07-30,Echoes in Sepia,5,71.0
2026-07-30,The Algorithm of Grief,1,17.0
2026-07-31,Copper Wire Kingdom,3,59.97
2026-07-31,Ashes of Meridian,2,37.98
2026-07-31,Saffron and Static,2,25.98
2026-07-31,Copper Wire Kingdom,1,19.99
2026-08-01,The Silent Orchard,5,74.95
2026-08-01,Copper Wire Kingdom,3,59.97
2026-08-01,The Bureaucrat's Garden,4,58.4
2026-08-02,The Salt Road,2,31.98
2026-08-02,Under a Borrowed Moon,3,32.97
2026-08-02,The Nightshift Gardener,1,13.75
2026-08-03,Beneath the Marigold Sky,6,71.94
2026-08-03,The Silent Orchard,3,44.97
2026-08-03,Quantum Shadows,1,22.0
2026-08-03,Under a Borrowed Moon,2,21.98
2026-08-04,The Bureaucrat's Garden,1,14.6
2026-08-04,Code & Cauldron,2,55.0
2026-08-05,The Salt Road,3,47.97
2026-08-05,Quantum Shadows,2,44.0
2026-08-05,Data Dreams,3,78.0
2026-08-05,The Bureaucrat's Garden,3,43.8
2026-08-05,Under a Borrowed Moon,4,43.96
2026-08-05,The Last Cartographer,2,33.5
2026-08-06,Neural Nights,4,99.96
2026-08-06,Copper Wire Kingdom,5,99.95
2026-08-06,Monsoon Ledger,3,40.2
2026-08-06,The Clockmaker's Daughter II,2,30.5
2026-08-06,The Bureaucrat's Garden,1,14.6
2026-08-06,Ghosts of the Data Center,4,103.0
2026-08-06,Copper Wire Kingdom,5,99.95
2026-08-07,The Nightshift Gardener,1,13.75
2026-08-07,Copper Wire Kingdom,2,39.98
2026-08-07,Data Dreams,4,104.0
2026-08-07,Monsoon Ledger,1,13.4
2026-08-07,The Salt Road,1,15.99
2026-08-08,Quantum Shadows,1,22.0
2026-08-08,Data Dreams,2,52.0
2026-08-08,Echoes in Sepia,3,42.6
2026-08-08,The Physics of Forgetting,3,64.5
2026-08-08,Monsoon Ledger,1,13.4
2026-08-08,The Clockmaker's Daughter II,1,15.25
2026-08-08,Ghosts of the Data Center,2,51.5
2026-08-09,Beneath the Marigold Sky,4,47.96
2026-08-09,Ghosts of the Data Center,2,51.5
2026-08-10,Under a Borrowed Moon,4,43.96
2026-08-10,Ashes of Meridian,4,75.96
2026-08-10,The Last Cartographer,2,33.5
2026-08-10,The Silent Orchard,3,44.97
2026-08-10,The Algorithm of Grief,3,51.0
2026-08-10,The Salt Road,4,63.96
2026-08-10,The Bureaucrat's Garden,1,14.6
2026-08-11,Under a Borrowed Moon,2,21.98
2026-08-11,Code & Cauldron,2,55.0
2026-08-11,The Salt Road,4,63.96
2026-08-11,Neural Nights,1,24.99
2026-08-12,Whispers of Kaduna,4,50.0
2026-08-12,The Last Cartographer,4,67.0
2026-08-12,The Silent Orchard,4,59.96
2026-08-12,Data Dreams,4,104.0
2026-08-12,Ghosts of the Data Center,1,25.75
2026-08-13,The Nightshift Gardener,4,55.0
2026-08-13,Quantum Shadows,3,66.0
2026-08-13,The Salt Road,2,31.98
2026-08-13,Verses for a Rainy Ledger,1,8.5
2026-08-13,Ghosts of the Data Center,1,25.75
2026-08-13,Under a Borrowed Moon,2,21.98
2026-08-13,Under a Borrowed Moon,3,32.97
2026-08-14,The Physics of Forgetting,2,43.0
2026-08-14,Static Hearts,4,45.0
2026-08-14,The Clockmaker's Daughter II,2,30.5
2026-08-14,The Nightshift Gardener,2,27.5
2026-08-14,Code & Cauldron,5,137.5
2026-08-14,Data Dreams,3,78.0
2026-08-14,The Last Cartographer,1,16.75
2026-08-15,The Bureaucrat's Garden,1,14.6
2026-08-15,Monsoon Ledger,1,13.4
2026-08-15,Ghosts of the Data Center,1,25.75
2026-08-16,Under a Borrowed Moon,1,10.99
2026-08-16,The Silent Orchard,2,29.98
2026-08-16,Static Hearts,8,90.0
2026-08-16,Quantum Shadows,3,66.0
2026-08-16,Saffron and Static,1,12.99
2026-08-17,The Algorithm of Grief,4,68.0
2026-08-17,Static Hearts,2,22.5
2026-08-18,Neural Nights,4,99.96
2026-08-18,Code & Cauldron,3,82.5
2026-08-18,Data Dreams,2,52.0
2026-08-18,The Algorithm of Grief,1,17.0
2026-08-18,Quantum Shadows,1,22.0
2026-08-18,Ashes of Meridian,1,18.99
2026-08-19,Beneath the Marigold Sky,2,23.98
2026-08-19,Code & Cauldron,1,27.5
2026-08-19,Echoes in Sepia,2,28.4
2026-08-20,Under a Borrowed Moon,1,10.99
2026-08-20,Data Dreams,1,26.0
2026-08-20,The Last Cartographer,1,16.75
2026-08-21,Under a Borrowed Moon,4,43.96
2026-08-21,The Iron Archive,1,18.4
2026-08-21,The Grammar of Rivers,2,19.98
2026-08-21,Monsoon Ledger,1,13.4
2026-08-21,Neural Nights,1,24.99
2026-08-21,Under a Borrowed Moon,2,21.98
2026-08-21,The Silent Orchard,3,44.97
2026-08-22,Ashes of Meridian,6,113.94
2026-08-22,Verses for a Rainy Ledger,3,25.5
2026-08-23,Ghosts of the Data Center,4,103.0
2026-08-23,The Bureaucrat's Garden,1,14.6
2026-08-24,Neural Nights,1,24.99
2026-08-24,The Algorithm of Grief,3,51.0
2026-08-24,Under a Borrowed Moon,2,21.98
2026-08-25,The Grammar of Rivers,3,29.97
2026-08-25,The Last Cartographer,4,67.0
2026-08-26,Data Dreams,1,26.0
2026-08-26,Quantum Shadows,1,22.0
2026-08-26,The Bureaucrat's Garden,3,43.8
2026-08-26,Saffron and Static,3,38.97
2026-08-27,Whispers of Kaduna,4,50.0
2026-08-27,The Iron Archive,2,36.8
2026-08-27,Under a Borrowed Moon,3,32.97
2026-08-27,The Physics of Forgetting,1,21.5
2026-08-27,Ghosts of the Data Center,1,25.75
2026-08-28,Verses for a Rainy Ledger,2,17.0
2026-08-28,The Last Cartographer,3,50.25
2026-08-28,The Clockmaker's Daughter II,1,15.25
2026-08-28,Beneath the Marigold Sky,7,83.93
2026-08-29,Static Hearts,4,45.0
2026-08-29,The Nightshift Gardener,2,27.5
2026-08-29,Copper Wire Kingdom,2,39.98
2026-08-29,Code & Cauldron,7,192.5
2026-08-30,Beneath the Marigold Sky,1,11.99
2026-08-30,The Bureaucrat's Garden,1,14.6
2026-09-12,The Midnight Ledger,5,79.95
2026-09-12,The Midnight Ledger,5,79.95
